prompt_text,inferred_speaker
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I do not believe Mrs. Long will do any such thing. She has two nieces of her own. She is a selfish, hypocritical woman, and I have no opinion of her.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do not depend on her serving you.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Don't keep coughing so, Kitty, for heaven's sake! Have a little compassion on my nerves. You tear them to pieces.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Kitty has no discretion in her coughs,"" said her father; ""she times them ill.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I do not cough for my own amusement,""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""To-morrow fortnight.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teazing?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I honour your circumspection. A fortnight's acquaintance is certainly very little. One cannot know what a man really is by the end of a fortnight. But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Nonsense, nonsense!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""What can be the meaning of that emphatic exclamation?"" cried he. ""Do you consider the forms of introduction, and the stress that is laid on them, as nonsense? I cannot quite agree with you _there_. What say you, Mary? for you are a young lady of deep reflection I know, and read great books, and make extracts.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr. Bingley.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I am sick of Mr. Bingley,""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I am sorry to hear _that_; but why did not you tell me so before? If I had known as much this morning, I certainly would not have called on him. It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""How good it was in you, my dear Mr. Bennet! But I knew I should persuade you at last. I was sure you loved your girls too well to neglect such an acquaintance. Well, how pleased I am! and it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Now, Kitty, you may cough as much as you chuse,""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""What an excellent father you have, girls,"" said she, when the door was shut. ""I do not know how you will ever make him amends for his kindness; or me either, for that matter. At our time of life, it is not so pleasant I can tell you, to be making new acquaintance every day; but for your sakes, we would do any thing. Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", 
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh!"" said Lydia stoutly, ""I am not afraid; for though I _am_ the youngest, I'm the tallest.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""If I can but see one of my daughters happily settled at Netherfield,"" said Mrs. Bennet to her husband, ""and all the others equally well married, I shall have nothing to wish for.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Come, Darcy,"" said he, ""I must have you dance. I hate to see you standing about by yourself in this stupid manner. You had much better dance.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I certainly shall not. You know how I detest it, unless I am particularly acquainted with my partner. At such an assembly as this, it would be insupportable. Your sisters are engaged, and there is not another woman in the room, whom it would not be a punishment to me to stand up with.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I would not be so fastidious as you are,"" cried Bingley, ""for a kingdom! Upon my honour, I never met with so many pleasant girls in my life, as I have this evening; and there are several of them you see uncommonly pretty.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""_You_ are dancing with the only handsome girl in the room,""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh! she is the most beautiful creature I ever beheld! But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say, very agreeable. Do let me ask my partner to introduce you.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Which do you mean?"" and turning round, he looked for a moment at Elizabeth, till catching her eye, he withdrew his own and coldly said, ""She is tolerable; but not handsome enough to tempt _me_; and I am in no humour at present to give consequence to young ladies who are slighted by other men. You had better return to your partner and enjoy her smiles, for you are wasting your time with me.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Who said: ""Which do you mean?"""
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh! my dear Mr. Bennet,""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""we have had a most delightful evening, a most excellent ball. I wish you had been there. Jane was so admired, nothing could be like it. Every body said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice. Only think of _that_ my dear; he actually danced with her twice; and she was the only creature in the room that he asked a second time. First of all, he asked Miss Lucas. I was so vexed to see him stand up with her; but, however, he did not admire her at all: indeed, nobody can, you know; and he seemed quite struck with Jane as she was going down the dance. So, he enquired who she was, and got introduced, and asked her for the two next. Then, the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, and the Boulanger----""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Answer: Charlotte Lucas"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""If he had had any compassion for _me_,"" cried her husband impatiently, ""he would not have danced half so much! For God's sake, say no more of his partners. Oh! that he had sprained his ancle in the first dance!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh! my dear,"" continued Mrs. Bennet, ""I am quite delighted with him. He is so excessively handsome! and his sisters are charming women. I never in my life saw any thing more elegant than their dresses. I dare say the lace upon Mrs. Hurst's gown----""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But I can assure you,"" she added, ""that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all worth pleasing. So high and so conceited that there was no enduring him! He walked here, and he walked there, fancying himself so very great! Not handsome enough to dance with! I wish you had been there, my dear, to have given him one of your set downs. I quite detest the man.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""He is just what a young man ought to be,"" said she, ""sensible, good humoured, lively; and I never saw such happy manners!--so much ease, with such perfect good breeding!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""He is also handsome,"" replied Elizabeth, ""which a young man ought likewise to be, if he possibly can. His character is thereby complete.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I was very much flattered by his asking me to dance a second time. I did not expect such a compliment.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Did not you? _I_ did for you. But that is one great difference between us. Compliments always take _you_ by surprise, and _me_ never. What could be more natural than his asking you again? He could not help seeing that you were about five times as pretty as every other woman in the room. No thanks to his gallantry for that. Well, he certainly is very agreeable, and I give you leave to like him. You have liked many a stupider person.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Dear Lizzy!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh! you are a great deal too apt you know, to like people in general. You never see a fault in any body. All the world are good and agreeable in your eyes. I never heard you speak ill of a human being in my life.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I would wish not to be hasty in censuring any one; but I always speak what I think.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I know you do; and it is _that_ which makes the wonder. With _your_ good sense, to be so honestly blind to the follies and nonsense of others! Affectation of candour is common enough;--one meets it every where. But to be candid without ostentation or design--to take the good of every body's character and make it still better, and say nothing of the bad--belongs to you alone. And so, you like this man's sisters too, do you? Their manners are not equal to his.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Certainly not; at first. But they are very pleasing women when you converse with them. Miss Bingley is to live with her brother and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""_You_ began the evening well, Charlotte,"" said Mrs. Bennet with civil self-command to Miss Lucas. ""_You_ were Mr. Bingley's first choice.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Answer:
Mrs. Bennet"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Yes;--but he seemed to like his second better.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh!--you mean Jane, I suppose--because he danced with her twice. To be sure that _did_ seem as if he admired her--indeed I rather believe he _did_--I heard something about it--but I hardly know what--something about Mr. Robinson.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Perhaps you mean what I overheard between him and Mr. Robinson; did not I mention it to you? Mr. Robinson's asking him how he liked our Meryton assemblies, and whether he did not think there were a great many pretty women in the room, and _which_ he thought the prettiest? and his answering immediately to the last question--Oh! the eldest Miss Bennet beyond a doubt, there cannot be two opinions on that point.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Upon my word!--Well, that was very decided indeed--that does seem as if----but however, it may all come to nothing you know.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""_My_ overhearings were more to the purpose than _yours_, Eliza,"" said Charlotte. ""Mr. Darcy is not so well worth listening to as his friend, is he?--Poor Eliza!--to be only just _tolerable_.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I beg you would not put it into Lizzy's head to be vexed by his ill-treatment; for he is such a disagreeable man that it would be quite a misfortune to be liked by him. Mrs. Long told me last night that he sat close to her for half an hour without once opening his lips.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Are you quite sure, Ma'am?--is not there a little mistake?"" said Jane.--""I certainly saw Mr. Darcy speaking to her.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Aye--because she asked him at last how he liked Netherfield, and he could not help answering her;--but she said he seemed very angry at being spoke to.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Miss Bingley told me,""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""that he never speaks much unless among his intimate acquaintance. With _them_ he is remarkably agreeable.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I do not believe a word of it, my dear. If he had been so very agreeable he would have talked to Mrs. Long. But I can guess how it was; every body says that he is ate up with pride, and I dare say he had heard somehow that Mrs. Long does not keep a carriage, and had come to the ball in a hack chaise.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I do not mind his not talking to Mrs. Long,"" said Miss Lucas, ""but I wish he had danced with Eliza.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Another time, Lizzy,"" said her mother, ""I would not dance with _him_, if I were you.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I believe, Ma'am, I may safely promise you _never_ to dance with him.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""His pride,"" said Miss Lucas, ""does not offend _me_ so much as pride often does, because there is an excuse for it. One cannot wonder that so very fine a young man, with family, fortune, every thing in his favour, should think highly of himself. If I may so express it, he has a _right_ to be proud.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""That is very true,"" replied Elizabeth, ""and I could easily forgive _his_ pride, if he had not mortified _mine_.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Pride,"" observed Mary, who piqued herself upon the solidity of her reflections, ""is a very common failing I believe. By all that I have ever read, I am convinced that it is very common indeed, that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary. Vanity and pride are different things, though the words are often used synonimously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""If I were as rich as Mr. Darcy,"" cried a young Lucas who came with his sisters, ""I should not care how proud I was. I would keep a pack of foxhounds, and drink a bottle of wine every day.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Then you would drink a great deal more than you ought,"" said Mrs. Bennet; ""and if I were to see you at it I should take away your bottle directly.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""It may perhaps be pleasant,"" replied Charlotte, ""to be able to impose on the public in such a case; but it is sometimes a disadvantage to be so very guarded. If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor consolation to believe the world equally in the dark. There is so much of gratitude or vanity in almost every attachment, that it is not safe to leave any to itself. We can all _begin_ freely--a slight preference is natural enough; but there are very few of us who have heart enough to be really in love without encouragement. In nine cases out of ten, a woman had better shew _more_ affection than she feels. Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Charlotte"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But she does help him on, as much as her nature will allow. If _I_ can perceive her regard for him, he must be a simpleton indeed not to discover it too.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Remember, Eliza, that he does not know Jane's disposition as you do.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But if a woman is partial to a man, and does not endeavour to conceal it, he must find it out.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Perhaps he must, if he sees enough of her. But though Bingley and Jane meet tolerably often, it is never for many hours together; and as they always see each other in large mixed parties, it is impossible that every moment should be employed in conversing together. Jane should therefore make the most of every half hour in which she can command his attention. When she is secure of him, there will be leisure for falling in love as much as she chuses.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", Thank you!
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Your plan is a good one,"" replied Elizabeth, ""where nothing is in question but the desire of being well married; and if I were determined to get a rich husband, or any husband, I dare say I should adopt it. But these are not Jane's feelings; she is not acting by design. As yet, she cannot even be certain of the degree of her own regard, nor of its reasonableness. She has known him only a fortnight. She danced four dances with him at Meryton; she saw him one morning at his own house, and has since dined in company with him four times. This is not quite enough to make her understand his character.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Not as you represent it. Had she merely _dined_ with him, she might only have discovered whether he had a good appetite; but you must remember that four evenings have been also spent together--and four evenings may do a great deal.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Yes; these four evenings have enabled them to ascertain that they both like Vingt-un better than Commerce; but with respect to any other leading characteristic, I do not imagine that much has been unfolded.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Well,"" said Charlotte, ""I wish Jane success with all my heart; and if she were married to him to-morrow, I should think she had as good a chance of happiness, as if she were to be studying his character for a twelvemonth. Happiness in marriage is entirely a matter of chance. If the dispositions of the parties are ever so well known to each other, or ever so similar before-hand, it does not advance their felicity in the least. They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your life.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.", 
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""You make me laugh, Charlotte; but it is not sound. You know it is not sound, and that you would never act in this way yourself.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""What does Mr. Darcy mean,"" said she to Charlotte, ""by listening to my conversation with Colonel Forster?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""That is a question which Mr. Darcy only can answer.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But if he does it any more I shall certainly let him know that I see what he is about. He has a very satirical eye, and if I do not begin by being impertinent myself, I shall soon grow afraid of him.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Did not you think, Mr. Darcy, that I expressed myself uncommonly well just now, when I was teazing Colonel Forster to give us a ball at Meryton?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""With great energy;--but it is a subject which always makes a lady energetic.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
